section	task	mode	run	gold	metric	value
vs_baseline	task2_1	hard	1	majority_class_baseline	FMeasure	0.6854
vs_baseline	task2_1	hard	1	majority_class_baseline	Precision	1.0
vs_baseline	task2_1	hard	1	majority_class_baseline	Recall	0.5214
vs_baseline	task2_1	hard	2	majority_class_baseline	FMeasure	0.6854
vs_baseline	task2_1	hard	2	majority_class_baseline	Precision	1.0
vs_baseline	task2_1	hard	2	majority_class_baseline	Recall	0.5214
vs_baseline	task2_1	hard	3	majority_class_baseline	FMeasure	0.6662
vs_baseline	task2_1	hard	3	majority_class_baseline	Precision	1.0
vs_baseline	task2_1	hard	3	majority_class_baseline	Recall	0.4995
vs_baseline	task2_1	soft	1	majority_class_baseline	MAE	0.5387
vs_baseline	task2_1	soft	1	majority_class_baseline	CrossEntropy	2.1961
vs_baseline	task2_1	soft	2	majority_class_baseline	MAE	0.5415
vs_baseline	task2_1	soft	2	majority_class_baseline	CrossEntropy	2.1937
vs_baseline	task2_1	soft	3	majority_class_baseline	MAE	0.604
vs_baseline	task2_1	soft	3	majority_class_baseline	CrossEntropy	2.1545
vs_baseline	task2_2	hard	1	majority_class_baseline	FMeasure	0.6474
vs_baseline	task2_2	hard	1	majority_class_baseline	Precision	1.0
vs_baseline	task2_2	hard	1	majority_class_baseline	Recall	0.4786
vs_baseline	task2_2	hard	2	majority_class_baseline	FMeasure	0.6474
vs_baseline	task2_2	hard	2	majority_class_baseline	Precision	1.0
vs_baseline	task2_2	hard	2	majority_class_baseline	Recall	0.4786
vs_baseline	task2_2	hard	3	majority_class_baseline	FMeasure	0.6671
vs_baseline	task2_2	hard	3	majority_class_baseline	Precision	1.0
vs_baseline	task2_2	hard	3	majority_class_baseline	Recall	0.5005
vs_baseline	task2_2	soft	1	majority_class_baseline	MAE	0.5071
vs_baseline	task2_2	soft	1	majority_class_baseline	CrossEntropy	5.946
vs_baseline	task2_2	soft	2	majority_class_baseline	MAE	0.3479
vs_baseline	task2_2	soft	2	majority_class_baseline	CrossEntropy	5.1999
vs_baseline	task2_2	soft	3	majority_class_baseline	MAE	0.4998
vs_baseline	task2_2	soft	3	majority_class_baseline	CrossEntropy	5.7638
vs_baseline	task2_3	hard	1	majority_class_baseline	FMeasure	0.6474
vs_baseline	task2_3	hard	1	majority_class_baseline	Precision	1.0
vs_baseline	task2_3	hard	1	majority_class_baseline	Recall	0.4786
vs_baseline	task2_3	hard	2	majority_class_baseline	FMeasure	0.6474
vs_baseline	task2_3	hard	2	majority_class_baseline	Precision	1.0
vs_baseline	task2_3	hard	2	majority_class_baseline	Recall	0.4786
vs_baseline	task2_3	hard	3	majority_class_baseline	FMeasure	0.6474
vs_baseline	task2_3	hard	3	majority_class_baseline	Precision	1.0
vs_baseline	task2_3	hard	3	majority_class_baseline	Recall	0.4786
vs_baseline	task2_3	soft	1	majority_class_baseline	MAE	0.2013
vs_baseline	task2_3	soft	1	majority_class_baseline	CrossEntropy	5.3683
vs_baseline	task2_3	soft	2	majority_class_baseline	MAE	0.1898
vs_baseline	task2_3	soft	2	majority_class_baseline	CrossEntropy	1.7173
vs_baseline	task2_3	soft	3	majority_class_baseline	MAE	0.1898
vs_baseline	task2_3	soft	3	majority_class_baseline	CrossEntropy	1.7173
inter_run	task2_1	hard	2	run1	FMeasure	1.0
inter_run	task2_1	hard	2	run1	Precision	1.0
inter_run	task2_1	hard	2	run1	Recall	1.0
inter_run	task2_1	hard	3	run1	FMeasure	0.6874
inter_run	task2_1	hard	3	run1	Precision	0.6876
inter_run	task2_1	hard	3	run1	Recall	0.6879
inter_run	task2_1	soft	2	run1	MAE	0.0335
inter_run	task2_1	soft	2	run1	CrossEntropy	0.4747
inter_run	task2_1	soft	3	run1	MAE	0.2817
inter_run	task2_1	soft	3	run1	CrossEntropy	1.0419
inter_run	task2_2	hard	2	run1	FMeasure	1.0
inter_run	task2_2	hard	2	run1	Precision	1.0
inter_run	task2_2	hard	2	run1	Recall	1.0
inter_run	task2_2	hard	3	run1	FMeasure	0.4178
inter_run	task2_2	hard	3	run1	Precision	0.5058
inter_run	task2_2	hard	3	run1	Recall	0.4816
inter_run	task2_2	soft	2	run1	MAE	0.1895
inter_run	task2_2	soft	2	run1	CrossEntropy	3.6833
inter_run	task2_2	soft	3	run1	MAE	0.184
inter_run	task2_2	soft	3	run1	CrossEntropy	2.0134
inter_run	task2_3	hard	2	run1	FMeasure	0.5792
inter_run	task2_3	hard	2	run1	Precision	0.4969
inter_run	task2_3	hard	2	run1	Recall	1.0
inter_run	task2_3	hard	3	run1	FMeasure	0.5792
inter_run	task2_3	hard	3	run1	Precision	0.4969
inter_run	task2_3	hard	3	run1	Recall	1.0
inter_run	task2_3	soft	2	run1	MAE	0.0298
inter_run	task2_3	soft	2	run1	CrossEntropy	0.4828
inter_run	task2_3	soft	3	run1	MAE	0.0298
inter_run	task2_3	soft	3	run1	CrossEntropy	0.4828
