section	task	mode	run	gold	metric	value
training_vs_gold	task2_1	hard	moondream	EXIST2025_training_task2_1_gold_hard.json	ICM	-0.9745
training_vs_gold	task2_1	hard	moondream	EXIST2025_training_task2_1_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_1	hard	moondream	EXIST2025_training_task2_1_gold_hard.json	FMeasure	0.0015
training_vs_gold	task2_1	hard	qwen	EXIST2025_training_task2_1_gold_hard.json	ICM	-0.9741
training_vs_gold	task2_1	hard	qwen	EXIST2025_training_task2_1_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_1	hard	qwen	EXIST2025_training_task2_1_gold_hard.json	FMeasure	0.0005
training_vs_gold	task2_1	hard	unsloth_gemma	EXIST2025_training_task2_1_gold_hard.json	ICM	-0.9749
training_vs_gold	task2_1	hard	unsloth_gemma	EXIST2025_training_task2_1_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_1	hard	unsloth_gemma	EXIST2025_training_task2_1_gold_hard.json	FMeasure	0.0
training_vs_gold	task2_1	hard	unsloth_qwen	EXIST2025_training_task2_1_gold_hard.json	ICM	-0.9749
training_vs_gold	task2_1	hard	unsloth_qwen	EXIST2025_training_task2_1_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_1	hard	unsloth_qwen	EXIST2025_training_task2_1_gold_hard.json	FMeasure	0.0
training_vs_gold	task2_1	soft	moondream	EXIST2025_training_task2_1_gold_soft.json	ICMSoft	-3.1773
training_vs_gold	task2_1	soft	moondream	EXIST2025_training_task2_1_gold_soft.json	ICMSoftNorm	0.0006
training_vs_gold	task2_1	soft	moondream	EXIST2025_training_task2_1_gold_soft.json	CrossEntropy	0.0029
training_vs_gold	task2_1	soft	qwen	EXIST2025_training_task2_1_gold_soft.json	ICMSoft	-3.1766
training_vs_gold	task2_1	soft	qwen	EXIST2025_training_task2_1_gold_soft.json	ICMSoftNorm	0.0007
training_vs_gold	task2_1	soft	qwen	EXIST2025_training_task2_1_gold_soft.json	CrossEntropy	0.0004
training_vs_gold	task2_1	soft	unsloth_gemma	EXIST2025_training_task2_1_gold_soft.json	ICMSoft	-3.1794
training_vs_gold	task2_1	soft	unsloth_gemma	EXIST2025_training_task2_1_gold_soft.json	ICMSoftNorm	0.0002
training_vs_gold	task2_1	soft	unsloth_gemma	EXIST2025_training_task2_1_gold_soft.json	CrossEntropy	0.0008
